sub_num,condition_timing,condition_stim,stim_id,cat,resp,rt,age,gender,date,prob_num,prob_num_grating,prob_num_binary,num_problems_solved,current_trial_prob,current_trial_stim,current_trial_exp,relevant_dim,x,y,xc
2,long_iti,binary,26,1,1,2.980712890625,,Prefer not to specify,2019-12-06,1,0,0,1,8,8,36,3,-1,-1,71.006665260041
2,long_iti,binary,37,2,2,0.6030220985412598,,Prefer not to specify,2019-12-06,1,0,0,1,9,9,37,3,-1,-1,71.006665260041
2,delay,binary,41,1,2,1.3225030899047852,,Prefer not to specify,2019-12-06,2,0,0,2,0,0,38,1,-1,-1,71.006665260041
2,delay,binary,56,1,1,2.209023952484131,,Prefer not to specify,2019-12-06,2,0,0,2,1,1,39,1,-1,-1,71.006665260041
2,delay,binary,50,1,1,1.0539119243621826,,Prefer not to specify,2019-12-06,2,0,0,2,2,2,40,1,-1,-1,71.006665260041
2,delay,binary,15,2,2,0.6062178611755371,,Prefer not to specify,2019-12-06,2,0,0,2,3,3,41,1,-1,-1,71.006665260041
2,delay,binary,1,2,2,1.561629056930542,,Prefer not to specify,2019-12-06,2,0,0,2,4,4,42,1,-1,-1,71.006665260041
2,delay,binary,40,1,1,1.5316479206085205,,Prefer not to specify,2019-12-06,2,0,0,2,5,5,43,1,-1,-1,71.006665260041
2,delay,binary,44,1,1,0.7447309494018555,,Prefer not to specify,2019-12-06,2,0,0,2,6,6,44,1,-1,-1,71.006665260041
2,delay,binary,24,2,2,0.8477861881256104,,Prefer not to specify,2019-12-06,2,0,0,2,7,7,45,1,-1,-1,71.006665260041
2,delay,binary,37,1,1,0.4938218593597412,,Prefer not to specify,2019-12-06,2,0,0,2,8,8,46,1,-1,-1,71.006665260041
2,delay,binary,48,1,1,0.9853019714355469,,Prefer not to specify,2019-12-06,2,0,0,2,9,9,47,1,-1,-1,71.006665260041
2,long_iti,grating,24,2,1,1.815551996231079,,Prefer not to specify,2019-12-06,3,1,1,3,0,0,48,1,31.800584105083324,24.0,29.678380135806663
2,long_iti,grating,47,1,1,0.8393688201904297,,Prefer not to specify,2019-12-06,3,1,1,3,1,1,49,1,16.696793940899532,24.0,29.678380135806663
2,long_iti,grating,31,2,2,0.6277849674224854,,Prefer not to specify,2019-12-06,3,1,1,3,2,2,50,1,31.56358647231258,24.0,29.678380135806663
2,long_iti,grating,23,2,1,0.7084481716156006,,Prefer not to specify,2019-12-06,3,1,1,3,3,3,51,1,31.50256542805825,24.0,29.678380135806663
2,long_iti,grating,4,1,2,0.9684491157531738,,Prefer not to specify,2019-12-06,3,1,1,3,4,4,52,1,24.902067147558313,24.0,29.678380135806663
2,long_iti,grating,41,2,2,0.8446540832519531,,Prefer not to specify,2019-12-06,3,1,1,3,5,5,53,1,31.33420392131002,24.0,29.678380135806663
2,long_iti,grating,49,1,1,0.6669318675994873,,Prefer not to specify,2019-12-06,3,1,1,3,6,6,54,1,23.288348745268877,24.0,29.678380135806663
2,long_iti,grating,32,1,1,1.0256538391113281,,Prefer not to specify,2019-12-06,3,1,1,3,7,7,55,1,25.435282715316994,24.0,29.678380135806663
2,long_iti,grating,8,2,2,1.1247260570526123,,Prefer not to specify,2019-12-06,3,1,1,3,8,8,56,1,31.600666970566614,24.0,29.678380135806663
2,long_iti,grating,44,1,1,0.6962640285491943,,Prefer not to specify,2019-12-06,3,1,1,3,9,9,57,1,18.87612830818654,24.0,29.678380135806663
